image_id,split,sat_image_path,mask_path
100694,train,train/100694_sat.jpg,train/100694_mask.png
102122,train,train/102122_sat.jpg,train/102122_mask.png
10233,train,train/10233_sat.jpg,train/10233_mask.png
103665,train,train/103665_sat.jpg,train/103665_mask.png
103730,train,train/103730_sat.jpg,train/103730_mask.png
104113,train,train/104113_sat.jpg,train/104113_mask.png
10452,train,train/10452_sat.jpg,train/10452_mask.png
10901,train,train/10901_sat.jpg,train/10901_mask.png
111335,train,train/111335_sat.jpg,train/111335_mask.png
114433,train,train/114433_sat.jpg,train/114433_mask.png
114473,train,train/114473_sat.jpg,train/114473_mask.png
114577,train,train/114577_sat.jpg,train/114577_mask.png
115444,train,train/115444_sat.jpg,train/115444_mask.png
119012,train,train/119012_sat.jpg,train/119012_mask.png
119079,train,train/119079_sat.jpg,train/119079_mask.png
119,train,train/119_sat.jpg,train/119_mask.png
120245,train,train/120245_sat.jpg,train/120245_mask.png
120625,train,train/120625_sat.jpg,train/120625_mask.png
122104,train,train/122104_sat.jpg,train/122104_mask.png
122178,train,train/122178_sat.jpg,train/122178_mask.png
123172,train,train/123172_sat.jpg,train/123172_mask.png
124529,train,train/124529_sat.jpg,train/124529_mask.png
125510,train,train/125510_sat.jpg,train/125510_mask.png
125795,train,train/125795_sat.jpg,train/125795_mask.png
126796,train,train/126796_sat.jpg,train/126796_mask.png
127660,train,train/127660_sat.jpg,train/127660_mask.png
127976,train,train/127976_sat.jpg,train/127976_mask.png
129297,train,train/129297_sat.jpg,train/129297_mask.png
129298,train,train/129298_sat.jpg,train/129298_mask.png
131720,train,train/131720_sat.jpg,train/131720_mask.png
133209,train,train/133209_sat.jpg,train/133209_mask.png
133254,train,train/133254_sat.jpg,train/133254_mask.png
13415,train,train/13415_sat.jpg,train/13415_mask.png
134465,train,train/134465_sat.jpg,train/134465_mask.png
136252,train,train/136252_sat.jpg,train/136252_mask.png
137499,train,train/137499_sat.jpg,train/137499_mask.png
137806,train,train/137806_sat.jpg,train/137806_mask.png
139482,train,train/139482_sat.jpg,train/139482_mask.png
139581,train,train/139581_sat.jpg,train/139581_mask.png
140299,train,train/140299_sat.jpg,train/140299_mask.png
141685,train,train/141685_sat.jpg,train/141685_mask.png
142766,train,train/142766_sat.jpg,train/142766_mask.png
143353,train,train/143353_sat.jpg,train/143353_mask.png
143364,train,train/143364_sat.jpg,train/143364_mask.png
143794,train,train/143794_sat.jpg,train/143794_mask.png
147545,train,train/147545_sat.jpg,train/147545_mask.png
147716,train,train/147716_sat.jpg,train/147716_mask.png
148260,train,train/148260_sat.jpg,train/148260_mask.png
